"","Fecha","Negocio","Cantidad_procesos"
"1",2019-01-02,"Armas",559
"2",2019-01-03,"Armas",733
"3",2019-01-04,"Armas",798
"4",2019-01-05,"Armas",455
"5",2019-01-08,"Armas",867
"6",2019-01-09,"Armas",1150
"7",2019-01-10,"Armas",1137
"8",2019-01-11,"Armas",1086
"9",2019-01-12,"Armas",576
"10",2019-01-14,"Armas",1133
"11",2019-01-15,"Armas",1117
"12",2019-01-16,"Armas",1108
"13",2019-01-17,"Armas",1197
"14",2019-01-18,"Armas",1077
"15",2019-01-19,"Armas",596
"16",2019-01-21,"Armas",1132
"17",2019-01-22,"Armas",1156
"18",2019-01-23,"Armas",1161
"19",2019-01-24,"Armas",1087
"20",2019-01-25,"Armas",1133
"21",2019-01-26,"Armas",661
"22",2019-01-28,"Armas",1161
"23",2019-01-29,"Armas",1228
"24",2019-01-30,"Armas",1210
"25",2019-01-31,"Armas",1191
"26",2019-02-01,"Armas",979
"27",2019-02-02,"Armas",618
"28",2019-02-04,"Armas",1012
"29",2019-02-05,"Armas",1037
"30",2019-02-06,"Armas",1061
"31",2019-02-07,"Armas",927
"32",2019-02-08,"Armas",1022
"33",2019-02-09,"Armas",619
"34",2019-02-11,"Armas",1125
"35",2019-02-12,"Armas",1194
"36",2019-02-13,"Armas",1190
"37",2019-02-14,"Armas",1275
"38",2019-02-15,"Armas",1177
"39",2019-02-16,"Armas",681
"40",2019-02-18,"Armas",1159
"41",2019-02-19,"Armas",1211
"42",2019-02-20,"Armas",1230
"43",2019-02-21,"Armas",1195
"44",2019-02-22,"Armas",1115
"45",2019-02-23,"Armas",640
"46",2019-02-25,"Armas",1080
"47",2019-02-26,"Armas",1172
"48",2019-02-27,"Armas",1188
"49",2019-02-28,"Armas",1169
"50",2019-03-01,"Armas",905
"51",2019-03-02,"Armas",495
"52",2019-03-04,"Armas",953
"53",2019-03-05,"Armas",883
"54",2019-03-06,"Armas",1057
"55",2019-03-07,"Armas",1006
"56",2019-03-08,"Armas",1004
"57",2019-03-09,"Armas",558
"58",2019-03-11,"Armas",1113
"59",2019-03-12,"Armas",1106
"60",2019-03-13,"Armas",1164
"61",2019-03-14,"Armas",1100
"62",2019-03-15,"Armas",1083
"63",2019-03-16,"Armas",621
"64",2019-03-18,"Armas",1142
"65",2019-03-19,"Armas",1164
"66",2019-03-20,"Armas",1101
"67",2019-03-21,"Armas",1054
"68",2019-03-22,"Armas",1166
"69",2019-03-23,"Armas",636
"70",2019-03-26,"Armas",1021
"71",2019-03-27,"Armas",1150
"72",2019-03-28,"Armas",1028
"73",2019-03-29,"Armas",989
"74",2019-03-30,"Armas",607
"75",2019-04-01,"Armas",765
"76",2019-04-02,"Armas",845
"77",2019-04-03,"Armas",800
"78",2019-04-04,"Armas",914
"79",2019-04-05,"Armas",922
"80",2019-04-06,"Armas",520
"81",2019-04-08,"Armas",828
"82",2019-04-09,"Armas",880
"83",2019-04-10,"Armas",933
"84",2019-04-11,"Armas",1027
"85",2019-04-12,"Armas",1016
"86",2019-04-13,"Armas",601
"87",2019-04-15,"Armas",869
"88",2019-04-16,"Armas",940
"89",2019-04-17,"Armas",842
"90",2019-04-22,"Armas",784
"91",2019-04-23,"Armas",888
"92",2019-04-24,"Armas",809
"93",2019-04-25,"Armas",1039
"94",2019-04-26,"Armas",1057
"95",2019-04-27,"Armas",612
"96",2019-04-29,"Armas",990
"97",2019-04-30,"Armas",1014
"98",2019-05-02,"Armas",806
"99",2019-05-03,"Armas",844
"100",2019-05-04,"Armas",544
"101",2019-05-06,"Armas",805
"102",2019-05-07,"Armas",1006
"103",2019-05-08,"Armas",877
"104",2019-05-09,"Armas",807
"105",2019-05-10,"Armas",821
"106",2019-05-11,"Armas",528
"107",2019-05-13,"Armas",667
"108",2019-05-14,"Armas",740
"109",2019-05-15,"Armas",817
"110",2019-05-16,"Armas",810
"111",2019-05-17,"Armas",815
"112",2019-05-18,"Armas",592
"113",2019-05-20,"Armas",862
"114",2019-05-21,"Armas",910
"115",2019-05-22,"Armas",918
"116",2019-05-23,"Armas",889
"117",2019-05-24,"Armas",904
"118",2019-05-25,"Armas",516
"119",2019-05-27,"Armas",903
