"","Fecha","campaign_id","Cantidad_llamadas"
"1",2019-01-02,10003,6
"2",2019-01-03,10003,50
"3",2019-01-04,10003,21
"4",2019-01-05,10003,1
"5",2019-01-08,10003,27
"6",2019-01-09,10003,10
"7",2019-01-10,10003,7
"8",2019-01-11,10003,5
"9",2019-01-14,10003,16
"10",2019-01-15,10003,21
"11",2019-01-16,10003,18
"12",2019-01-17,10003,26
"13",2019-01-18,10003,12
"14",2019-01-21,10003,5
"15",2019-01-22,10003,9
"16",2019-01-23,10003,23
"17",2019-01-24,10003,27
"18",2019-01-25,10003,20
"19",2019-01-28,10003,19
"20",2019-01-29,10003,28
"21",2019-01-30,10003,14
"22",2019-01-31,10003,13
"23",2019-02-01,10003,13
"24",2019-02-04,10003,7
"25",2019-02-05,10003,9
"26",2019-02-06,10003,19
"27",2019-02-07,10003,10
"28",2019-02-08,10003,28
"29",2019-02-09,10003,1
"30",2019-02-11,10003,16
"31",2019-02-12,10003,20
"32",2019-02-13,10003,15
"33",2019-02-14,10003,20
"34",2019-02-15,10003,16
"35",2019-02-18,10003,11
"36",2019-02-19,10003,20
"37",2019-02-20,10003,2
"38",2019-02-21,10003,18
"39",2019-02-22,10003,10
"40",2019-02-25,10003,30
"41",2019-02-26,10003,23
"42",2019-02-27,10003,94
"43",2019-02-28,10003,68
"44",2019-03-01,10003,26
"45",2019-03-04,10003,11
"46",2019-03-05,10003,18
"47",2019-03-06,10003,19
"48",2019-03-07,10003,14
"49",2019-03-08,10003,28
"50",2019-03-11,10003,39
"51",2019-03-12,10003,27
"52",2019-03-13,10003,31
"53",2019-03-14,10003,45
"54",2019-03-15,10003,56
"55",2019-03-18,10003,28
"56",2019-03-19,10003,25
"57",2019-03-20,10003,34
"58",2019-03-21,10003,25
"59",2019-03-22,10003,21
"60",2019-03-26,10003,44
"61",2019-03-27,10003,26
"62",2019-03-28,10003,34
"63",2019-03-29,10003,21
"64",2019-04-01,10003,29
"65",2019-04-02,10003,26
"66",2019-04-03,10003,35
"67",2019-04-04,10003,26
"68",2019-04-05,10003,28
"69",2019-04-08,10003,53
"70",2019-04-09,10003,18
"71",2019-04-10,10003,30
"72",2019-04-11,10003,30
"73",2019-04-12,10003,36
"74",2019-04-15,10003,65
"75",2019-04-16,10003,52
"76",2019-04-17,10003,40
"77",2019-04-22,10003,51
"78",2019-04-23,10003,29
"79",2019-04-24,10003,21
"80",2019-04-25,10003,37
"81",2019-04-26,10003,34
"82",2019-04-29,10003,34
"83",2019-04-30,10003,38
"84",2019-05-02,10003,32
"85",2019-05-03,10003,35
"86",2019-05-04,10003,1
"87",2019-05-06,10003,59
